species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Amphiprion clarkii,rls,Pomacentridae,Actinopterygii,tropical,Planktivore,15,normal,FALSE,FALSE
Amphiprion latezonatus,rls,Pomacentridae,Actinopterygii,temperate,Omnivore,14,normal,FALSE,FALSE
Amphiprion mccullochi,rls,Pomacentridae,Actinopterygii,temperate,Omnivore,12,normal,FALSE,FALSE
Amphiprion melanopus,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,12,normal,FALSE,FALSE
Amphiprion perideraion,rls,Pomacentridae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
Anampses caeruleopunctatus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,42,normal,FALSE,FALSE
Anampses elegans,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,30,normal,FALSE,FALSE
Anampses femininus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,24,normal,FALSE,FALSE
Anampses geographicus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,31,lognormal,FALSE,FALSE
Anampses meleagrides,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,22,lognormal,FALSE,FALSE
Anampses neoguinaicus,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,20,normal,FALSE,FALSE
Anampses twistii,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,18,normal,FALSE,FALSE
Anoplocapros inermis,rls,Ostraciidae,Actinopterygii,temperate,Benthic invertivore,37,normal,FALSE,FALSE
Aphareus furca,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,70,normal,FALSE,FALSE
Aplodactylus arctidens,rls,Aplodactylidae,Actinopterygii,temperate,Browsing herbivore,65,normal,FALSE,TRUE
Aplodactylus etheridgii,rls,Aplodactylidae,Actinopterygii,temperate,Browsing herbivore,45,normal,FALSE,FALSE
Aplodactylus lophodon,rls,Aplodactylidae,Actinopterygii,temperate,Browsing herbivore,45,normal,FALSE,FALSE
Apogon capricornis,rls,Apogonidae,Actinopterygii,tropical,Benthic invertivore,5.8,normal,FALSE,FALSE
Apogon victoriae,rls,Apogonidae,Actinopterygii,temperate,Benthic invertivore,14,normal,FALSE,FALSE
Aprion virescens,rls,Lutjanidae,Actinopterygii,tropical,Higher carnivore,112,normal,FALSE,FALSE
Aracana aurita,rls,Ostraciidae,Actinopterygii,temperate,Benthic invertivore,25,lognormal,FALSE,FALSE
Arothron nigropunctatus,rls,Tetraodontidae,Actinopterygii,tropical,Omnivore,33,normal,FALSE,FALSE
Arripis georgianus,rls,Arripidae,Actinopterygii,temperate,Higher carnivore,41,normal,FALSE,TRUE
Arripis trutta,rls,Arripidae,Actinopterygii,temperate,Higher carnivore,89,normal,TRUE,TRUE
Arripis truttaceus,rls,Arripidae,Actinopterygii,temperate,Higher carnivore,96,normal,FALSE,TRUE
Atrosalarias holomelas,rls,Blenniidae,Actinopterygii,tropical,Browsing herbivore,11,normal,FALSE,FALSE
Atule mate,rls,Carangidae,Actinopterygii,tropical,Higher carnivore,30,normal,FALSE,FALSE
Atypichthys latus,rls,Kyphosidae,Actinopterygii,temperate,Benthic invertivore,30,normal,FALSE,FALSE
Atypichthys strigatus,rls,Kyphosidae,Actinopterygii,temperate,Planktivore,25,lognormal,FALSE,FALSE
Aulostomus chinensis,rls,Aulostomidae,Actinopterygii,tropical,Higher carnivore,80,normal,FALSE,FALSE
Austrolabrus maculatus,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,17,normal,FALSE,FALSE
Balistapus undulatus,rls,Balistidae,Actinopterygii,tropical,Benthic invertivore,30,normal,FALSE,FALSE
Balistoides conspicillum,rls,Balistidae,Actinopterygii,tropical,Benthic invertivore,50,normal,FALSE,FALSE
Bathystethus cultratus,rls,Kyphosidae,Actinopterygii,temperate,Benthic invertivore,30,lognormal,FALSE,FALSE
Bathytoshia brevicaudata,rls,Dasyatidae,Elasmobranchii,temperate,Benthic invertivore,430,normal,FALSE,FALSE
Bodianus axillaris,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,20,normal,FALSE,FALSE
Bodianus frenchii,rls,Labridae,Actinopterygii,temperate,Benthic invertivore,49,normal,FALSE,FALSE
Bodianus mesothorax,rls,Labridae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
