species,size_class,size_min,size_max,std_mk,name,value
Acanthurus nigrofuscus,15,13.75,17.5,0.490027126,p_norm,0.2636823538005906
Acanthurus nigrofuscus,15,13.75,17.5,0.490027126,p_lnorm,0.20550110811688715
Acanthurus nigrofuscus,15,13.75,17.5,0.490027126,lbspr_mk15,0.05333693331042439
Acanthurus nigrofuscus,20,17.5,22.5,0.490027126,lbspr,0.01041115341722561
Acanthurus nigrofuscus,20,17.5,22.5,0.490027126,rls_obs,0.03448943377964188
Acanthurus nigrofuscus,20,17.5,22.5,0.490027126,p_norm,0.10882837511849774
Acanthurus nigrofuscus,20,17.5,22.5,0.490027126,p_lnorm,0.09148660488008152
Acanthurus nigrofuscus,20,17.5,22.5,0.490027126,lbspr_mk15,4.0990648241329375e-4
Acanthurus nigrofuscus,25,22.5,27.5,0.490027126,lbspr,0
Acanthurus nigrofuscus,25,22.5,27.5,0.490027126,rls_obs,0.00366188094854008
Acanthurus nigrofuscus,25,22.5,27.5,0.490027126,p_norm,0.0088185619258182
Acanthurus nigrofuscus,25,22.5,27.5,0.490027126,p_lnorm,0.02033160218628382
Acanthurus nigrofuscus,25,22.5,27.5,0.490027126,lbspr_mk15,0
Acanthurus nigrofuscus,30,27.5,32.5,0.490027126,lbspr,0
Acanthurus nigrofuscus,30,27.5,32.5,0.490027126,rls_obs,4.194224874979835e-4
Acanthurus nigrofuscus,30,27.5,32.5,0.490027126,p_norm,1.9579808620384664e-4
Acanthurus nigrofuscus,30,27.5,32.5,0.490027126,p_lnorm,0.00419006512049346
Acanthurus nigrofuscus,30,27.5,32.5,0.490027126,lbspr_mk15,0
Notolabrus fucicola,2.5,1.25,3.75,2.177218255,lbspr,0.11220240161032832
Notolabrus fucicola,2.5,1.25,3.75,2.177218255,rls_obs,2.9960820465545055e-4
Notolabrus fucicola,2.5,1.25,3.75,2.177218255,p_norm,0.00343898857569471
Notolabrus fucicola,2.5,1.25,3.75,2.177218255,p_lnorm,7.991434264564605e-9
