species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Diagramma pictum,300,0,275,325,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,350,0,325,375,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Diagramma pictum,400,0,375,450,0,0,60.6,0.45,0.755577763,0.340009994,640,36.89133425034388
Notolabrus gymnogenis,2.5,0.07658177702320317,1.25,3.75,0.08796324067520066,0.0013304138141301,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,5,0.07513514970221252,3.75,6.25,0.08519189471284777,0.02209041270545192,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,7.5,0.07361845473899803,6.25,8.75,0.08232566205284643,0.07921505584966324,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,10,0.14236343547039643,8.75,11.25,0.1556229093570281,0.1374483771723163,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,12.5,0.0685520252243512,11.25,13.75,0.0730453067621496,0.17650156600792705,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,15,0.13123992777643034,13.75,17.5,0.13579268020020002,0.1969566784001774,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,20,0.12230576441102758,17.5,22.5,0.1207046046224,0.17453366224119293,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,25,0.16175600291050207,22.5,27.5,0.1471605428391627,0.11200421297707808,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,30,0.0834322365052416,27.5,32.5,0.067142699777398,0.07095540342027218,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,35,0.05889347023472661,32.5,37.5,0.04144149253503446,0.02574905069430971,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,40,0.0061217560029105,37.5,45,0.00360896646573226,0.00296571412733168,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,50,0,45,56.25,0,1.9401868122730675e-4,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,62.5,0,56.25,68.75,0,5.543390892208764e-5,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,75,0,68.75,81.25,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,87.5,0,81.25,93.75,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,100,0,93.75,106.25,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,112.5,0,106.25,118.75,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,125,0,118.75,131.25,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,137.5,0,131.25,143.75,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,150,0,143.75,156.25,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,162.5,0,156.25,168.75,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,175,0,168.75,181.25,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,187.5,0,181.25,193.75,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,200,0,193.75,225,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,250,0,225,275,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,300,0,275,325,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,350,0,325,375,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Notolabrus gymnogenis,400,0,375,450,0,0,35.88,0.339,1.297730034,0.439930481,360,16.69544610438205
Chaetodon lunulatus,2.5,0.04524310704175696,1.25,3.75,0.33343885399060774,0.1285283152849281,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,5,0.05952778440257572,3.75,6.25,0.283909292607865,0.03053435114503816,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,7.5,0.09297379690788996,6.25,8.75,0.2228197138279775,0.16243564707970887,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,10,0.772337954561951,8.75,11.25,0.15941235087178415,0.4739925439375111,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,12.5,0.02991735708582627,11.25,13.75,4.197887017655899e-4,0.15320433161725547,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,15,0,13.75,17.5,0,0.04686667850168649,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,20,0,17.5,22.5,0,0.00443813243387182,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,25,0,22.5,27.5,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,30,0,27.5,32.5,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,35,0,32.5,37.5,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,40,0,37.5,45,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,50,0,45,56.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,62.5,0,56.25,68.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,75,0,68.75,81.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,87.5,0,81.25,93.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
